rec,UWA Case ID,COURT case no.,Crime type,Start date,Finalized,UWA prosecutor,State prosecutor,Defense lawyer,Judicial Officer

1108,KCA-KNP-10-2015-03-27-1,,Illegal possesion,26/03-2015,,Ngene Rueben,,,
1110,KCA-KNP-10-2015-04-01-1,CO-309/2015,Illegal grazing,18/03-2015,18/03-2015,Ngene Rueben,,,
1111,KCA-KNP-10-2015-04-01-2,CO-119/2015,Hunting for meat,25/03-2015,25/03-2015,Ngene Rueben,,,
1112,KCA-KNP-10-2015-04-01-3,CO-123/2015,Illegal possesion,25/03-2015,14/04-2015,Ngene Rueben,,,
1114,QECA-QENP-17-2015-04-30-,CRB 005/2015,Hunting for meat,15/04-2015,,Okenyi Charlce,,,Francis R
1124,QECA-QENP-17-2015-05-02-,CRB 014/2015,Illegal entry,19/03-2015,19/03-2015,Okenyi Charlce,,,Rubarema Francis
1125,QECA-QENP-17-2015-05-02-,CRB 014/2015,Illegal entry,19/03-2015,19/03-2015,Okenyi Charlce,,,Rubarema Francis
1141,QECA-QENP-17-2015-05-07-,CRB 040/2015,Illegal entry,05/03-2015,05/03-2015,Okenyi Charlce,,,Rubarema Francis
1142,QECA-QENP-17-2015-05-07-,CRB 040/2015,Illegal entry,05/03-2015,05/03-2015,Okenyi Charlce,,,Rubarema Francis
1143,QECA-QENP-17-2015-05-07-,CRB 028/2015,Illegal entry,05/03-2015,05/03-2015,Okenyi Charlce,,,Rubarema Francis
1144,QECA-QENP-17-2015-05-07-,CRB 028/2015,Illegal entry,05/03-2015,05/03-2015,Okenyi Charlce,,,Rubarema Francis
1145,QECA-QENP-17-2015-05-07-,CRB 042/2015,Illegal fishing,05/03-2015,05/03-2015,Okenyi Charlce,,,Rubarema Francis
1146,QECA-QENP-17-2015-05-07-,CRB 042/2015,Illegal fishing,05/03-2015,05/03-2015,Okenyi Charlce,,,Rubarema Francis
1147,QECA-QENP-17-2015-05-07-,CRB 042/2015,Illegal fishing,05/03-2015,05/03-2015,Okenyi Charlce,,,Rubarema Francis
1148,QECA-QENP-17-2015-05-08-,CRB 047/2015,Illegal entry,12/03-2015,12/03-2015,Okenyi Charlce,,,Rubarema Francis
1149,QECA-QENP-17-2015-05-08-,CRB 047/2015,Illegal possesion,12/03-2015,12/03-2015,Okenyi Charlce,,,Rubarema Francis
1150,QECA-QENP-17-2015-05-08-,CRB 050/2015,Illegal possesion,12/03-2015,12/03-2015,Okenyi Charlce,,,Rubarema Francis
1151,QECA-QENP-17-2015-05-08-,CRB 048/2015,Illegal fishing,12/03-2015,12/03-2015,Okenyi Charlce,,,Rubarema Francis
1152,QECA-QENP-17-2015-05-08-,CRB 049/2015,Hunting for meat,12/03-2015,12/03-2015,Okenyi Charlce,,,Rubarema Francis
1153,QECA-QENP-17-2015-05-08-,CRB 049/2015,Hunting for meat,12/03-2015,12/03-2015,Okenyi Charlce,,,Rubarema Francis
1154,QECA-QENP-17-2015-05-08-,CRB 054/2015,Illegal possesion,12/03-2015,12/03-2015,Okenyi Charlce,,,Rubarema Francis
1155,QECA-QENP-17-2015-05-08-,CRB 054/2015,Illegal possesion,12/03-2015,12/03-2015,Okenyi Charlce,,,Rubarema Francis
1156,QECA-QENP-17-2015-05-11-,CRB 053/2015,Illegal grazing,12/03-2015,12/03-2015,Okenyi Charlce,,,Rubarema Francis
1157,QECA-QENP-17-2015-05-11-,NPW,Illegal fishing,12/03-2015,12/03-2015,Okenyi Charlce,,,Rubarema Francis
1158,QECA-QENP-17-2015-05-11-,NPW,Illegal grazing,12/03-2015,12/03-2015,Okenyi Charlce,,,Rubarema Francis
1159,QECA-QENP-17-2015-05-11-,CRB 060/2015,Illegal possesion,12/03-2015,19/03-2015,Okenyi Charlce,,,Rubarema Francis
1160,QECA-QENP-17-2015-05-11-,CRB 060/2015,Illegal possesion,12/03-2015,19/03-2015,Okenyi Charlce,,,Rubarema Francis
1161,QECA-QENP-17-2015-05-11-,CRB 058/2015,Hunting for meat,12/03-2015,19/03-2015,Okenyi Charlce,,,Rubarema Francis
1162,QECA-QENP-17-2015-05-11-,CRB 057/2015,Illegal harvesting,12/03-2015,19/03-2015,Okenyi Charlce,,,Rubarema Francis
1163,QECA-QENP-17-2015-05-11-,CRB 057/2015,Illegal harvesting,12/03-2015,19/03-2015,Okenyi Charlce,,,Rubarema Francis
1164,QECA-QENP-17-2015-05-11-,CRB 059/2015,Illegal harvesting,12/03-2015,19/03-2015,Okenyi Charlce,,,Rubarema Francis
1165,QECA-QENP-17-2015-05-11-,CRB 060/2015,Hunting for meat,12/03-2015,19/03-2015,Okenyi Charlce,,,Rubarema Francis
